"Daily Weather Observations for Cabramurra, New South Wales for November 2019"
"Prepared at 13:00 UTC on Sunday 11 October 2020   IDCJDW2023.201911"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Temperature, humidity, wind and rainfall observations are from Cabramurra SMHEA AWS {station 072161}"
"Cloud observations are from Tumbarumba Post Office {station 072043}"

"date","temperature_minimum_degC","temperature_maximum_degC","rainfall_mm","maximum_wind_gust_direction","maximum_wind_gust_speed_kph","maximum_wind_gust_time","temperature_9am_degC","relative_humidity_9am_pc","cloud_amount_9am_oktas","wind_direction_9am","wind_speed_9am_kph","temperature_3pm_degC","relative_humidity_3pm_pc","wind_direction_3pm","wind_speed_3pm_kph","sunrise","sunset","astronomical_twilight_start","astronomical_twilight_end","nautical_twilight_start","nautical_twilight_end","civil_twilight_start","civil_twilight_end","solar_noon"
2019-11-13,-2.5,8.5,0,WNW,57,23:27,-0.4,86,1,W,15,7.6,59,W,22,05:52,19:49,04:13,21:28,04:50,20:51,05:24,20:17,12:50
2019-11-14,-0.6,12.3,0,W,41,23:04,4.9,95,3,W,17,10.1,73,W,22,05:51,19:50,04:12,21:30,04:49,20:53,05:23,20:18,12:50
2019-11-15,4.7,13.8,0,WNW,70,12:54,8.3,73,2,WNW,31,12.8,53,WNW,31,05:50,19:51,04:11,21:31,04:48,20:54,05:22,20:19,12:50
2019-11-16,3.7,14.3,0,WNW,48,16:22,5.9,69,,WNW,11,13.2,35,W,20,05:50,19:52,04:10,21:32,04:47,20:55,05:21,20:20,12:51
2019-11-17,3.3,14.3,0,WNW,33,12:48,8.4,42,0,NE,7,13.4,26,WNW,13,05:49,19:53,04:09,21:34,04:46,20:56,05:21,20:21,12:51
2019-11-18,4.5,16.0,0,WNW,43,15:49,7.6,45,2,W,15,14.5,35,WNW,24,05:48,19:54,04:08,21:35,04:45,20:57,05:20,20:23,12:51
2019-11-19,7.5,21.7,0,WNW,65,12:28,13.0,41,0,WNW,30,20.6,22,WNW,30,05:48,19:55,04:07,21:37,04:44,20:59,05:19,20:24,12:51
2019-11-20,11.0,23.1,0,WNW,31,13:41,15.0,31,1,NNW,7,21.3,23,WNW,17,05:47,19:56,04:06,21:38,04:44,21:00,05:19,20:25,12:51
2019-11-21,15.0,27.6,0,NNW,50,13:43,22.0,27,1,NNE,13,27.3,22,NNW,22,05:47,19:57,04:05,21:39,04:43,21:01,05:18,20:26,12:52
2019-11-22,17.2,22.6,0,NNW,54,23:22,19.8,34,1,WNW,15,21.7,39,W,26,05:46,19:58,04:04,21:41,04:42,21:02,05:17,20:27,12:52
2019-11-23,11.3,20.0,0,WNW,43,12:53,13.9,36,0,W,15,18.5,28,W,22,05:46,19:59,04:03,21:42,04:41,21:04,05:17,20:28,12:52
2019-11-24,8.2,19.8,0,WNW,41,14:56,13.0,60,0,NNW,9,18.2,40,W,22,05:45,20:00,04:02,21:44,04:41,21:05,05:16,20:29,12:52
2019-11-25,11.8,21.9,0,WNW,50,10:02,13.9,33,0,WNW,20,20.4,26,WNW,28,05:45,20:01,04:01,21:45,04:40,21:06,05:16,20:30,12:53
2019-11-26,13.0,14.0,0,WNW,96,13:34,13.6,55,8,NNW,41,3.1,99,WNW,35,05:44,20:02,04:01,21:46,04:40,21:07,05:15,20:31,12:53
2019-11-27,-0.7,14.0,5.2,WNW,31,12:29,8.1,34,0,SW,13,12.4,46,WNW,19,05:44,20:03,04:00,21:48,04:39,21:08,05:15,20:32,12:53
2019-11-28,7.6,19.2,0,W,35,11:07,12.2,33,0,SW,17,17.4,29,W,17,05:44,20:04,03:59,21:49,04:38,21:09,05:14,20:33,12:54
2019-11-29,12.2,22.2,0,W,63,13:08,16.0,25,0,N,19,21.2,19,W,26,05:43,20:05,03:58,21:50,04:38,21:11,05:14,20:34,12:54
2019-11-30,8.9,11.3,0.2,NW,56,11:33,9.2,77,8,NW,26,10.1,54,WNW,31,05:43,20:06,03:58,21:52,04:38,21:12,05:14,20:35,12:54
